campaign_id,collection_name,membership,brand,product_name,price,currency,product_url,stock_status_at_selection,observed_at
almost-fall-2026,First Coats of Fall,collection_body,Sézane,Scott Trench Coat,320,USD,https://www.sezane.com/us-en/collection/jackets,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Sézane,Gabrio Coat,380,USD,https://www.sezane.com/us-en/collection/jackets,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Sézane,Clyde Coat,355,USD,https://www.sezane.com/us-en/collection/jackets,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Sézane,Carter Jacket,340,USD,https://www.sezane.com/us-en/collection/jackets,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Sézane,Charlotte Jacket,460,USD,https://www.sezane.com/us-en/collection/jackets,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Aligne,Paloma Wool Blend Jacket,219,GBP,https://aligne.co/products/paloma-double-faced-jacket-blue,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Aligne,Barnaby Reversible Trench Coat,269,GBP,https://aligne.co/products/barnaby-reversible-trench-coat-green,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Aligne,Brody Funnel Jacket,159,GBP,https://aligne.co/products/brody-jacket-beige,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Aligne,Bark Flock Jacket,175,GBP,https://aligne.co/products/bark-flock-jacket-orange,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Woolrich,Double-Breasted Belted Trench Coat,591,USD,https://www.farfetch.com/shopping/women/woolrich/items.aspx,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Toteme,Country Jacket,558,USD,https://www.farfetch.com/shopping/women/toteme/items.aspx,in_stock,2026-08-07
almost-fall-2026,First Coats of Fall,collection_body,Toteme,Open-Front Coat,1485,USD,https://www.farfetch.com/shopping/women/toteme/items.aspx,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Aligne,Mavis Suede Jacket,470,GBP,https://aligne.co/products/mavis-suede-jacket-camel,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Nour Hammour,Dalma Suede Bomber Jacket,1530,USD,https://www.farfetch.com/shopping/women/nour-hammour/items.aspx,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Khaite,Wyatt Jacket (Dumas),1280,USD,https://khaite.com/products/wyatt-jacket-in-dumas,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Aligne,Brody Denim Jacket,159,GBP,https://aligne.co/products/brody-jacket-blue,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Khaite,Clara Jean (Benson),640,USD,https://khaite.com/products/clara-jean-in-benson,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Khaite,Farley Jean (Seneca),620,USD,https://khaite.com/products/farley-jean-in-seneca,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Khaite,Danielle Stretch Jean (Benson),620,USD,https://khaite.com/products/danielle-stretch-jean-in-benson,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Agolde,Harper Straight Jean (Hush),218,USD,https://agolde.com/products/harper-jean-mid-rise-relaxed-straight-hush,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Agolde,Low Slung Baggy (Essence),238,USD,https://agolde.com/products/low-slung-baggy-essence,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Agolde,Ren Jean (Echo),228,USD,https://agolde.com/products/ren-jean-echo,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Agolde,Low Curve Jean (Force),238,USD,https://agolde.com/products/low-curve-jean-force,in_stock,2026-08-07
almost-fall-2026,"Suede, Sheer & Denim",collection_body,Agolde,Luna High Rise Pieced Taper (Split),258,USD,https://agolde.com/products/luna-pieced-jean-split,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Awe Inspired,Crescent Moon Brooch (Sterling Silver),260,USD,https://aweinspired.com/products/crescent-moon-brooch,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Mango,Rounded Buckle Leather Belt (Black),49.99,USD,https://shop.mango.com/us/en/c/women/belts/leather/98abbc2e,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Mango,100% Cowhide Leather Belt (Chocolate Wide),69.99,USD,https://shop.mango.com/us/en/c/women/belts/leather/98abbc2e,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Mango,100% Cowhide Leather Belt (Brown),45.99,USD,https://shop.mango.com/us/en/c/women/belts/leather/98abbc2e,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Toteme,Centered Monogram Silk Scarf,339,USD,https://www.farfetch.com/shopping/women/toteme/items.aspx,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Sandy Liang,Terminator Bag Charm,118,USD,https://kith.com/products/r25a026-l010,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Kallmeyer,Crosby Seamless Cardigan (Cream),520,USD,https://kallmeyer.nyc/products/dkss26kn1071-crosby-seamless-cardigan-superfine-merino-cream,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Kallmeyer,Crosby Seamless Cardigan (Heather Blue),520,USD,https://kallmeyer.nyc/products/dkss26kn1071-crosby-seamless-cardigan-superfine-merino-heather-blue,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Toteme,Shawl-Lapel Cardigan,770,USD,https://www.farfetch.com/shopping/women/toteme/items.aspx,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Rohe,Twisted Ballet Cardigan (Mud),550,EUR,https://roheframes.com/products/twisted-ballet-cardigan-mud,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Sézane,Emily Cardigan,175,USD,https://www.sezane.com/us-en/collection/jackets,in_stock,2026-08-07
almost-fall-2026,Fall Accents,collection_body,Aligne,Brody Sleeveless Funnel Neck Gilet,139,GBP,https://aligne.co/products/brody-sleeveless-funnel-gilet-camel,in_stock,2026-08-07
