campaign_id,campaign_name,build_id,collection_name,is_rail_item,rail_name,rail_position,collection_position,product_name,brand,product_url,external_id,price,currency,stock_status,observed_at,annotation
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,1,1,Yara Shrug in Cotton Knit,Kallmeyer,https://kallmeyer.nyc/products/dkpf26kn1119-yara-shrug-cotton-knit-black,,680,USD,in_stock,2026-08-07,A cropped wool shrug — the half-cardigan that changes a tank outfit.
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,2,2,Turtle Pin,Frances Valentine,https://francesvalentine.com,,90,USD,in_stock,2026-08-07,A $90 turtle that reads heirloom on a linen shirt.
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,3,3,Gaspard Cardigan,Sezane,https://www.sezane.com/us-en/product/gaspard-cardigan/black,,120,USD,in_stock,2026-08-07,A cardigan that works before cardigan weather.
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,4,4,Knitted Linen Cardigan,COS,https://www.cos.com/en-us/women/womenswear/knitwear/cardigans/product/knitted-linen-cardigan-burgundy-1315013001,,139,USD,in_stock,2026-07-18,Knitted linen — a cardigan that works before cardigan weather.
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,5,5,Gold-Tone Colored Crystal Orchid Pin,Anne Klein,https://www.macys.com,,32,USD,in_stock,2026-08-07,A crystal orchid at $32 — the cheapest way into the brooch revival.
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,6,6,100% Cowhide Leather Belt,Mango,https://shop.mango.com/us/en/c/women/belts/leather/98abbc2e,,45.99,USD,in_stock,2026-08-07,"Chocolate cowhide, $46 — one dark belt to shift a summer outfit."
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,7,7,Embroidered Silk Scarf,COS,https://www.cos.com/en-us/women/accessories/hatsscarvesgloves/scarves/product/embroidered-silk-scarf-navy-striped-1332775001,,69.0,USD,in_stock,2026-07-27,Navy striped silk — the scarf that dresses a plain neckline.
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,8,8,14K Gold-tone Carnelian Cameo Oval Pin,2028,https://www.macys.com,,68,USD,in_stock,2026-08-07,"A carnelian cameo in gold tone — vintage grammar, current stock."
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,9,9,Satin check-print scarf,Mango,https://shop.mango.com/us/en/p/women/scarves-and-shawls/neckscarves/satin-check-print-scarf/37091481/05/00,,17.99,USD,in_stock,2026-07-27,"Satin check, $18 — tie it anywhere the outfit needs autumn."
almost-fall-2026,Almost Fall,b003,Fall Accents,TRUE,Add one thing,10,10,Tailored Vest,COS,https://www.cos.com/en-us/women/womenswear/suitsandtailoring/waistcoats/product/tailored-waistcoat-brown-1326531001,,90.3,USD,in_stock,2026-07-19,The third piece that isn't a jacket.
