campaign_id,campaign_name,build_id,target_surface,rail_sort_order,surface_blocker,collection_name,collection_position,is_rail_item,rail_name,rail_position,product_name,brand,product_url,external_id,price,currency,stock_status,observed_at,annotation,row_flags
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,1,TRUE,Add one thing,1,Yara Shrug in Cotton Knit,Kallmeyer,https://kallmeyer.nyc/products/dkpf26kn1119-yara-shrug-cotton-knit-black,,680,USD,in_stock,2026-08-07,A cropped wool shrug — the half-cardigan that changes a tank outfit.,
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,2,TRUE,Add one thing,2,Turtle Pin,Frances Valentine,https://francesvalentine.com,,90,USD,in_stock,2026-08-07,A $90 turtle that reads heirloom on a linen shirt.,PDP_RESOLUTION_PENDING(scraper-workstream)
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,3,TRUE,Add one thing,3,Gaspard Cardigan,Sezane,https://www.sezane.com/us-en/product/gaspard-cardigan/black,,120,USD,in_stock,2026-08-07,A cardigan that works before cardigan weather.,
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,4,TRUE,Add one thing,4,Knitted Linen Cardigan,COS,https://www.cos.com/en-us/women/womenswear/knitwear/cardigans/product/knitted-linen-cardigan-burgundy-1315013001,,139,USD,in_stock,2026-07-18,Knitted linen — a cardigan that works before cardigan weather.,
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,5,TRUE,Add one thing,5,Gold-Tone Colored Crystal Orchid Pin,Anne Klein,https://www.macys.com,,32,USD,in_stock,2026-08-07,A crystal orchid at $32 — the cheapest way into the brooch revival.,PDP_RESOLUTION_PENDING(scraper-workstream)
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,6,TRUE,Add one thing,6,100% Cowhide Leather Belt,Mango,https://shop.mango.com/us/en/c/women/belts/leather/98abbc2e,,45.99,USD,in_stock,2026-08-07,"Chocolate cowhide, $46 — one dark belt to shift a summer outfit.",PDP_RESOLUTION_PENDING(scraper-workstream)
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,7,TRUE,Add one thing,7,Embroidered Silk Scarf,COS,https://www.cos.com/en-us/women/accessories/hatsscarvesgloves/scarves/product/embroidered-silk-scarf-navy-striped-1332775001,,69.0,USD,in_stock,2026-07-27,Navy striped silk — the scarf that dresses a plain neckline.,
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,8,TRUE,Add one thing,8,14K Gold-tone Carnelian Cameo Oval Pin,2028,https://www.macys.com,,68,USD,in_stock,2026-08-07,"A carnelian cameo in gold tone — vintage grammar, current stock.",PDP_RESOLUTION_PENDING(scraper-workstream)
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,9,TRUE,Add one thing,9,Satin check-print scarf,Mango,https://shop.mango.com/us/en/p/women/scarves-and-shawls/neckscarves/satin-check-print-scarf/37091481/05/00,,17.99,USD,in_stock,2026-07-27,"Satin check, $18 — tie it anywhere the outfit needs autumn.",
almost-fall-2026,Almost Fall,b004,fashion,6,,Fall Accents,10,TRUE,Add one thing,10,Tailored Vest,COS,https://www.cos.com/en-us/women/womenswear/suitsandtailoring/waistcoats/product/tailored-waistcoat-brown-1326531001,,90.3,USD,in_stock,2026-07-19,The third piece that isn't a jacket.,
